id,min,q1,median,q3,max
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,9.33459,11.3453,12.0108,12.5168
System.Digestive System.Liver.LIVER,0.113644,2.41968,10.7216,12.6567,13.7297
System.Immune System.Myeloid.KUPFFER CELL,1.81287,2.16272,8.10486,13.1655,13.5331
System.Digestive System.Liver.HEPATOCYTE,0.113644,2.16272,7.51341,11.5763,13.4468
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,3.64478,6.13094,7.01742,7.96498
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,4.16691,5.5331,7.32318,8.75978
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,3.85764,4.56034,5.12981,5.63312,6.29962
System.Cardiovascular System.Heart.VENTRICLE,1.93532,4.16691,4.93037,5.78635,7.32913
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,2.51832,4.87314,8.5956,11.2902
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,4.71212,10.2574,12.074
System.Cardiovascular System.Heart.ATRIUM,0.113644,2.41968,4.08298,4.84279,5.79763
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,2.16272,3.89584,6.07935,8.5672
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,2.77595,3.73874,5.70916,10.1286
System.Cardiovascular System.Heart.HEART,0.113644,0.113644,3.1737,5.28658,7.83074
System.Cardiovascular System.Heart.VALVE,0.113644,0.113644,3.11494,4.04248,5.8134
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,1.20968,3.05618,4.6263,5.62963
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,1.20968,2.41968,3.48123,5.10925
System.Digestive System.Intestine.COLON,0.113644,0.113644,1.81287,9.21262,12.6705
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,0.113644,1.81287,3.64478,4.80873
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,1.64367,4.84412,9.01482
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.113644,1.51127,4.97062,10.8603
System.Nervous System.CNS.SPINAL CORD,0.113644,0.113644,1.20968,2.16272,3.96669
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,1.20968,1.81287,2.61696
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,0.113644,1.20968,2.61696,4.54992
System.Respiratory System.Lung.LUNG,0.113644,0.113644,1.20968,3.76961,7.08465
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,1.20968,3.08556,11.1265
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,2.16272,4.96278
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,0.113644,0.113644,5.35579
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,1.81287,4.59911
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,1.81287,4.56034
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,0.113644,3.1737,8.93968
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,0.113644,1.20968,4.09988
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,0.113644,2.41968
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,0.113644,1.81287,3.72948
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,0.113644,1.20968,4.38344
System.Nervous System.CNS.PONS,0.113644,0.113644,0.113644,0.113644,10.1951
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,0.113644,2.41968,3.93968
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,0.113644,0.113644,2.6885
