id,min,q1,median,q3,max
System.Integumentary System.Skin.KERATINOCYTE,6.34691,8.12035,8.87813,9.41696,10.0095
System.Respiratory System.Trachea.TRACHEA,0.113644,5.98306,8.38924,9.29509,10.3919
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,4.254,8.21297,10.1265,10.5228
System.Digestive System.Intestine.COLON,0.113644,4.05534,7.60281,8.83718,10.1302
System.Integumentary System.Skin.BASAL CELL,0.113644,4.42004,7.54934,8.48279,9.63263
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,1.20968,7.10985,8.0692,9.42412
System.Digestive System.Liver.HEPATOCYTE,0.113644,5.40837,6.92548,7.91821,8.87751
System.Digestive System.Intestine.SMALL INTESTINE,1.10008,5.38652,6.68963,8.70161,10.4303
System.Digestive System.Liver.LIVER,0.113644,1.20968,5.93591,7.19032,8.45606
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,4.00388,4.9313,5.85817,6.55713
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,1.20968,4.3519,7.09227,8.39274
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,4.30709,8.85601,9.78367
System.Immune System.Myeloid.KUPFFER CELL,0.113644,0.113644,3.96591,8.35163,8.52491
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,3.89584,8.0044,10.4027
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.935672,3.76127,8.40703,10.2039
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,3.28517,4.85038,7.27867
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.113644,2.16272,5.74844,8.03757
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,1.51127,5.80148,8.64167
System.Integumentary System.Skin.SKIN,0.113644,0.113644,1.20968,7.92517,9.49109
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,1.20968,5.46892,8.06812
