gene_symbol,pearson_correlation
CCL4L2,0.9231571555137634
CCL3,0.9127486348152161
CCL3L3,0.8541122078895569
CD48,0.8432487845420837
PLEK,0.8333109617233276
CYTIP,0.8201040029525757
IL10RA,0.8164398074150085
SLAMF1,0.8159096837043762
CD53,0.8158851265907288
CCR5,0.8100569844245911
FGR,0.8055860996246338
SASH3,0.804376482963562
TAGAP,0.8016999363899231
SLAMF7,0.7954791188240051
CD52,0.7949224710464478
BCL2A1,0.7926730513572693
HAVCR2,0.7919800281524658
GPR65,0.7918849587440491
CD300A,0.791524350643158
CD86,0.7911809086799622
LCP2,0.7909370064735413
TYROBP,0.7893392443656921
DOK2,0.7867480516433716
JAML,0.785290539264679
HCST,0.7852284908294678
BIN2,0.7834764719009399
PIK3R5,0.7833271026611328
GPR183,0.783169686794281
CYTH4,0.7828894853591919
SAMSN1,0.7826529145240784
ALOX5AP,0.782004177570343
NCF1C,0.7818971872329712
LILRB2,0.7812764644622803
GZMB,0.781245231628418
IL2RG,0.7796645164489746
TNF,0.7786110043525696
AOAH,0.7784255743026733
TNFSF8,0.7780400514602661
SNX20,0.774688720703125
PARVG,0.7736192345619202
PTPRC,0.7723299264907837
NCF4,0.7718145847320557
NKG7,0.7709184885025024
FCER1G,0.7707760334014893
NCF1B,0.7705065011978149
OSM,0.7699598073959351
GIMAP5,0.7673261165618896
NCF1,0.7668127417564392
LILRB1,0.7655937671661377
CCL5,0.7652119994163513
LY86,0.7642804980278015
ITGAL,0.7619290351867676
CTSS,0.7611481547355652
LSP1,0.7597805857658386
TBX21,0.7591634392738342
ARHGAP30,0.7585374712944031
LAPTM5,0.7582240700721741
CD2,0.7582009434700012
ITGB2,0.7579126358032227
FCGR3A,0.7569029331207275
CD69,0.7567765116691589
GBP5,0.7562523484230042
GMFG,0.7547053098678589
SLA,0.7534581422805786
P2RY10,0.7528746724128723
GNLY,0.7510871291160583
CD84,0.7506273984909058
ARHGAP9,0.7501593232154846
CXorf21,0.7500374913215637
RNASE6,0.7484437823295593
RGS1,0.7458081245422363
RASAL3,0.7456668615341187
VNN2,0.7455813884735107
ITGAX,0.7452642321586609
MYO1G,0.7446325421333313
GIMAP4,0.7446222305297852
CD244,0.7444750070571899
EVI2B,0.7442077398300171
GPR132,0.7438090443611145
CCR1,0.7433571815490723
TNFRSF1B,0.7432368993759155
HCLS1,0.7429057955741882
GZMH,0.742363691329956
CST7,0.7421379685401917
ITGAM,0.741366982460022
IRF8,0.7408380508422852
MNDA,0.7406919598579407
TNFAIP8L2,0.7400878071784973
PSTPIP1,0.7391653656959534
AIF1,0.7390660643577576
IL2RA,0.7383025288581848
SIGLEC9,0.7380569577217102
SP140,0.7366790771484375
GIMAP7,0.7363935112953186
CLECL1,0.7359213829040527
MYO1F,0.7354423999786377
NCKAP1L,0.7344747185707092
HCK,0.7344034910202026
IKZF1,0.7342973947525024
SIGLEC7,0.7340990900993347
