id,min,q1,median,q3,max
System.Immune System.Myeloid.MACROPHAGE,0.113644,7.39734,11.1775,13.7952,15.8438
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,7.11459,9.08301,13.5834,17.4412
System.Immune System.Granulocytic.NEUTROPHIL,5.91323,7.38583,8.45606,12.0452,14.4399
System.Immune System.Spleen.SPLEEN,0.113644,2.41968,7.33897,11.5581,15.611
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,2.41968,7.16288,10.3327,13.9066
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,4.16691,7.16203,8.47327,10.6385
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,1.81287,6.23752,8.77634,11.4459
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,3.84809,5.6035,7.01345,9.87635
System.Digestive System.Liver.LIVER,0.113644,1.81287,5.07842,7.1938,11.5269
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,3.11342,4.99416,6.57105,11.9377
System.Nervous System.CNS.PONS,0.113644,0.113644,4.31312,7.88609,10.7897
System.Cardiovascular System.Heart.VALVE,0.113644,0.113644,4.31312,6.83768,8.35749
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,4.11061,10.1938,13.464
System.Immune System.Myeloid.KUPFFER CELL,0.113644,0.113644,3.62197,7.20456,7.81645
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,0.113644,3.39116,4.89983,9.50749
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,1.66207,3.28517,5.93833,8.4475
System.Immune System.Thymus.THYMUS,0.113644,0.113644,3.28517,6.5769,8.84565
System.Cardiovascular System.Heart.VENTRICLE,0.113644,2.16272,3.05618,3.76961,5.38652
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,0.113644,2.61696,4.16691,7.14421
System.Cardiovascular System.Heart.ATRIUM,0.113644,1.20968,2.2912,2.95747,3.81028
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,0.113644,1.81287,2.95747,4.58089
System.Nervous System.CNS.SPINAL CORD,0.113644,1.20968,1.81287,2.41968,3.56825
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,1.81287,3.76961,7.75472
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,1.20968,3.56825,8.18698
System.Digestive System.Liver.HEPATOCYTE,0.113644,0.113644,1.20968,4.21911,8.70487
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,0.113644,0.113644,8.36828
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,0.113644,0.113644,0.113644,0.113644
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,0.113644,5.41311
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,0.113644,3.89584,9.11293
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,0.113644,1.81287,3.90664
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,0.113644,0.113644,1.81287,10.4545
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,0.113644,4.86527
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,0.113644,4.31312,8.47027
System.Cardiovascular System.Heart.HEART,0.113644,0.113644,0.113644,2.92457,9.14103
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,0.113644,0.113644,0.113644,2.16272
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,0.113644,2.16272,8.82284
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.113644,0.113644,0.113644,5.64487
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,0.113644,1.81287,5.4302
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,0.113644,0.113644,0.113644,1.20968
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,0.113644,0.113644,0.113644,3.61823
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,4.18518
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,0.113644,1.20968,5.59003
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,0.113644,0.113644,0.113644,0.113644
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,1.81287,10.3818
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,5.25971,9.87177
System.Respiratory System.Lung.LUNG,0.113644,0.113644,0.113644,4.51527,12.3869
System.Integumentary System.Skin.SKIN,0.113644,0.113644,0.113644,2.41968,7.30446
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,0.113644,1.20968,7.3028
System.Digestive System.Intestine.COLON,0.113644,0.113644,0.113644,5.10633,8.91575
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,1.81287
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,0.113644,4.02187
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,0.113644,3.28517
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,0.113644
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,8.01029,12.3535
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,0.113644,3.39116,10.8962
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,0.113644,0.113644,1.20968
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.113644,0.113644,1.20968,6.79486
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,0.113644,0.113644,2.41968
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,0.113644,0.113644,0.113644
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,0.113644,0.113644,0.661663
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,0.113644,0.113644,2.41968,3.89584
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,0.113644,0.113644,4.77752
System.Nervous System.CNS.CEREBELLUM,0.113644,0.113644,0.113644,0.113644,1.20968
System.Nervous System.CNS.HYPOTHALAMUS,0.113644,0.113644,0.113644,1.81287,2.36828
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,0.113644,2.41968,5.79754
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,0.113644,0.113644,4.84431
System.Nervous System.CNS.NEURON,0.113644,0.113644,0.113644,0.113644,1.20968
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,0.113644,0.113644,4.24002
