id,min,q1,median,q3,max
System.Digestive System.Liver.HEPATOCYTE,0.113644,5.65482,10.5176,12.1207,12.9446
System.Digestive System.Liver.LIVER,0.113644,1.20968,9.20129,11.3833,11.9487
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,2.72676,8.50813,12.9035,13.5451
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.708372,1.81287,6.81005,11.5142,11.6277
System.Immune System.Myeloid.KUPFFER CELL,0.113644,0.113644,5.99546,12.0906,12.3424
System.Respiratory System.Trachea.TRACHEA,0.113644,3.89584,5.69219,7.79648,9.95438
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,2.99037,5.45333,7.6042,10.7275
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,5.31558,7.99585,8.87531
System.Integumentary System.Skin.BASAL CELL,0.113644,1.20968,3.39116,4.93037,7.23827
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,2.41968,4.26947,7.02657
System.Digestive System.Intestine.COLON,0.113644,0.113644,1.9878,5.18213,8.9366
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,0.113644,1.20968,1.81287,2.41968
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,1.20968,2.16272,3.70787
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,0.113644,1.20968,2.16272,4.35734
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,0.113644,1.20968,2.41968
System.Cardiovascular System.Heart.ATRIUM,0.113644,0.113644,0.113644,0.113644,1.81287
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,0.113644,1.81287,8.24687
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,1.20968
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,0.113644,0.113644,2.16272
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,0.113644,1.81287
System.Respiratory System.Lung.LUNG,0.113644,0.113644,0.113644,2.16272,5.51459
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,0.113644,1.20968,1.81287
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,0.113644,1.81287
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,1.20968,2.77595
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,0.113644,0.113644,0.113644,2.16272
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,0.113644,0.113644,2.61696
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.113644,0.113644,2.22696,6.10415
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,0.113644,6.49468,8.70389
System.Nervous System.CNS.THALAMUS,0.113644,0.113644,0.113644,0.113644,1.20968
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,0.113644,1.81287,3.28517
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,0.113644,0.113644,1.81287
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,0.113644,0.113644,1.20968,2.25266
