id,min,q1,median,q3,max
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,1.20968,8.36601,9.16044,9.46739,10.9424
System.Respiratory System.Trachea.TRACHEA,1.69223,6.65623,8.27579,9.5376,10.7102
System.Integumentary System.Skin.BASAL CELL,0.113644,4.30221,6.59003,7.65906,9.3036
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,6.31582,10.4164,11.1154
System.Integumentary System.Skin.KERATINOCYTE,1.81287,4.80976,6.18762,7.53071,9.59742
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,1.20968,3.37496,5.54262,7.09332,8.13213
System.Digestive System.Intestine.COLON,0.113644,2.61696,5.04875,10.6805,11.8248
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,1.81287,4.80976,6.11658,8.25015
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,1.51127,4.16691,8.17208,10.6586
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,1.81287,3.70787,8.31979,11.5775
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,1.36048,3.70719,4.77752,5.54841
System.Nervous System.Eye.RETINA,0.113644,1.20968,3.28517,9.32053,10.6909
System.Digestive System.Intestine.COLON MUCOSA,0.113644,1.66207,2.85026,9.85856,11.7253
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,1.81287,2.85026,4.90746,8.19303
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,2.77595,5.04875,8.89271
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,1.20968,2.77595,4.80976,8.35857
System.Digestive System.Liver.LIVER,0.113644,1.20968,2.77595,3.70787,7.08846
System.Digestive System.Liver.HEPATOCYTE,0.113644,1.81287,2.77595,3.64478,5.20789
System.Respiratory System.Lung.LUNG,0.113644,1.20968,2.77595,5.88569,9.16316
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,1.20968,2.77595,5.40837,8.29429
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,1.20968,2.61696,4.3519,8.61622
System.Nervous System.PNS.SENSORY NEURON,0.661663,2.16272,2.61696,3.1737,3.70787
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,2.61696,5.45333,7.85026
System.Integumentary System.Skin.SKIN,0.113644,0.113644,2.61696,4.77752,8.18934
System.Nervous System.CNS.NEURON,0.113644,1.20968,2.41968,3.89584,7.19727
System.Nervous System.CNS.MEDULLA,0.113644,1.20968,2.41968,3.70787,6.30165
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,2.41968,3.76961,6.4862
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,2.41968,3.9543,6.12597
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,2.41968,4.44193,7.02314
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,1.81287,2.41968,3.05618,4.23926
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,1.20968,2.16272,3.5465,6.02306
System.Nervous System.CNS.PONS,0.113644,0.113644,2.16272,5.49388,10.1706
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,1.20968,2.16272,3.76961,7.38728
System.Immune System.Thymus.THYMUS,0.113644,1.20968,2.16272,2.77595,3.83218
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,2.16272,2.61696,4.26925
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,1.20968,2.16272,2.92457,4.94577
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,2.16272,2.92457,4.43111
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,1.81287,2.61696,3.70787
System.Cardiovascular System.Heart.ATRIUM,0.113644,1.20968,1.81287,2.41968,4.50096
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,1.81287,2.41968,3.95678
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,1.81287,2.41968,3.18484
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,1.81287,4.11061,9.72538
