id,min,q1,median,q3,max
System.Digestive System.Liver.HEPATOCYTE,0.113644,9.50903,11.7407,12.9614,14.2601
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,5.23063,10.1974,12.3838,13.2489
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,2.16272,10.0666,11.1039,12.1207
System.Digestive System.Liver.LIVER,0.113644,2.16272,9.35141,12.7769,13.9681
System.Immune System.Myeloid.KUPFFER CELL,0.113644,1.20968,7.22454,11.5118,11.7083
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,1.81287,6.92768,11.276,14.2509
System.Respiratory System.Trachea.TRACHEA,0.113644,1.20968,6.07935,10.9886,12.7644
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,1.22368,3.28517,5.32901,7.70209,8.71676
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,5.31558,9.43732,12.9002
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,1.20968,4.67269,11.1195,13.3442
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,4.3915,9.83446,13.6024
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,3.39116,7.72208,13.0519
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,3.39116,10.1936,13.7183
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.113644,2.38984,4.26527,6.77601
System.Digestive System.Intestine.COLON,0.113644,0.113644,1.81287,4.67269,10.527
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,1.81287,3.76961,13.31
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,1.20968,6.90433,9.22933
System.Cardiovascular System.Heart.ATRIUM,0.113644,0.113644,0.113644,0.113644,1.20968
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,1.20968
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,0.113644,1.81287,3.28517
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,0.113644,3.83218,13.0297
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,1.81287,5.90043
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,0.113644,0.113644,1.20968,2.16272
System.Respiratory System.Lung.LUNG,0.113644,0.113644,0.113644,3.1737,9.46595
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,0.113644,0.113644,2.73793
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,1.20968,6.03426
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,5.78218
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,0.113644,0.113644,1.81287
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,0.113644,0.113644,1.20968,3.78245
System.Nervous System.Eye.RETINA,0.113644,0.113644,0.113644,0.113644,6.27393
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,0.113644,1.20968,4.51106
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,0.113644,0.113644,1.20968,4.57391
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,0.113644,0.113644,2.16272,4.0014
System.Nervous System.CNS.PONS,0.113644,0.113644,0.113644,1.20968,13.7839
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,0.113644,0.113644,2.41968,4.35734
System.Cardiovascular System.Heart.HEART,0.113644,0.113644,0.113644,0.113644,5.67402
System.Cardiovascular System.Heart.VALVE,0.113644,0.113644,0.113644,2.16272,3.1737
System.Cardiovascular System.Heart.VENTRICLE,0.113644,0.113644,0.113644,0.113644,2.16272
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,0.113644,0.113644,2.41968,4.49892
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,0.113644,2.77595
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,0.113644,1.20968,2.77595
System.Nervous System.CNS.THALAMUS,0.113644,0.113644,0.113644,0.113644,1.49559
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,0.113644,1.81287
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,0.113644,1.81287,7.773
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,5.63855,11.6005
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,0.113644,2.42954
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,0.113644,2.41968,5.78604
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,0.113644
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,0.113644
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,2.00529
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,1.20968
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,0.113644
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,0.113644,0.113644,4.49892
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,0.113644,0.113644,2.90228
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,0.113644,3.05618
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,0.113644,0.113644
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,0.113644,1.20968,4.11061
System.Nervous System.CNS.SPINAL CORD,0.113644,0.113644,0.113644,0.113644,1.20968
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.113644,0.113644,2.41968,5.42377
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,0.113644,0.113644,1.81287
System.Integumentary System.Skin.SKIN,0.113644,0.113644,0.113644,1.20968,3.76961
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,0.113644,0.113644,1.20968
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,0.113644,0.113644,0.113644,1.20968
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,0.113644,1.20968,4.63537
System.Nervous System.CNS.CEREBELLUM,0.113644,0.113644,0.113644,0.113644,0.113644
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,0.113644,0.113644,0.113644,1.20968
System.Nervous System.CNS.HYPOTHALAMUS,0.113644,0.113644,0.113644,0.113644,1.97212
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,0.113644,2.35544,9.63185
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,0.113644,1.20968,4.07017
System.Nervous System.CNS.NEURON,0.113644,0.113644,0.113644,0.113644,3.1737
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,0.113644,0.113644,1.20968
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,0.113644,0.113644,0.113644,2.77595
