id,min,q1,median,q3,max
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,9.28512,10.6144,11.7141,11.8802
System.Digestive System.Liver.LIVER,0.113644,1.20968,7.51341,10.6035,11.4707
System.Digestive System.Liver.HEPATOCYTE,0.113644,3.39116,7.22538,9.78113,10.9713
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,2.16272,4.84279,8.78812,10.91
System.Immune System.Myeloid.KUPFFER CELL,0.113644,0.113644,4.73253,9.56973,9.84449
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,0.113644,1.81287,2.92457,4.19074
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,1.7524,4.39693,5.00731
System.Digestive System.Intestine.COLON,0.113644,0.113644,1.20968,9.18803,11.1913
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,0.113644,1.81287
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,0.113644,0.113644,1.51127
System.Respiratory System.Lung.LUNG,0.113644,0.113644,0.113644,0.113644,2.16272
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,0.113644,0.113644,1.81287
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,0.113644,1.20968,5.56774
System.Nervous System.Eye.RETINA,0.113644,0.113644,0.113644,0.113644,1.81287
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,1.20968,5.02256
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,1.20968,4.61543
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,0.113644,1.20968,5.30833
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,0.113644,0.661663,2.41968
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,0.113644,3.07907
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,0.113644,0.113644,4.76094
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,0.113644,0.113644,1.20968
System.Cardiovascular System.Heart.ATRIUM,0.113644,0.113644,0.113644,1.81287,3.01011
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,0.113644,0.113644,0.113644,0.113644
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,0.113644
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.113644,0.113644,2.65111,11.1031
