id,min,q1,median,q3,max
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,6.18518,8.43713,10.2955,11.031
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,0.935672,6.66819,8.45564,10.2914
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,2.85026,5.23546,7.1938,9.90039
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,2.33699,5.39224,5.77545
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,0.113644,1.81287,3.28517,4.36063
System.Digestive System.Liver.HEPATOCYTE,0.113644,0.113644,1.20968,2.92457,4.77126
System.Immune System.Myeloid.KUPFFER CELL,0.113644,0.113644,0.661663,1.81287,3.03643
System.Nervous System.Eye.RETINA,0.113644,0.113644,0.113644,0.113644,0.113644
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,0.113644,1.20968
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,0.113644,0.113644,0.113644
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,0.113644,0.113644,1.93532
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,0.113644,0.113644
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,0.113644,0.113644,0.113644
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,0.113644,1.20968,9.04853
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,0.113644,1.20968
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,0.113644,0.113644,0.113644
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,0.113644,0.113644,0.113644,0.113644
System.Nervous System.CNS.THALAMUS,0.113644,0.113644,0.113644,0.113644,1.20968
System.Respiratory System.Lung.LUNG,0.113644,0.113644,0.113644,0.113644,1.81287
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,0.113644,0.113644,0.113644
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,0.113644,0.113644
System.Cardiovascular System.Heart.ATRIUM,0.113644,0.113644,0.113644,0.113644,0.113644
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,0.113644,0.113644,0.113644
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,0.113644,0.113644,2.92457
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.113644,0.113644,3.90942,8.93495
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,0.113644,0.113644,0.113644
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,0.113644,0.113644,0.113644,0.113644
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,2.41968
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,0.113644,0.113644,0.113644
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,0.113644,0.113644,0.113644,0.113644
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,0.113644,0.113644,0.113644,1.20968
System.Nervous System.CNS.PONS,0.113644,0.113644,0.113644,0.113644,1.20968
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,0.113644,0.113644,0.113644,0.113644
System.Cardiovascular System.Heart.HEART,0.113644,0.113644,0.113644,0.113644,0.113644
System.Cardiovascular System.Heart.VALVE,0.113644,0.113644,0.113644,0.113644,1.20968
