id,min,q1,median,q3,max
System.Integumentary System.Skin.KERATINOCYTE,10.6128,13.0046,13.5074,13.9155,14.4612
System.Integumentary System.Skin.BASAL CELL,0.113644,8.05143,12.6851,13.2234,13.8062
System.Respiratory System.Trachea.TRACHEA,3.39622,10.6052,12.5816,13.677,14.3743
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,2.469,11.6411,11.9807,12.1665,12.8371
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,1.20968,3.52398,10.4085,12.1113,13.3584
System.Digestive System.Intestine.COLON,0.113644,3.9543,9.80519,11.5551,12.9153
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,5.56102,8.98773,11.9726,14.2261
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,1.81287,8.80906,11.7112,13.3437
System.Digestive System.Liver.HEPATOCYTE,3.1737,6.07935,8.28634,10.2912,13.0427
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,2.41968,7.86771,11.507,13.3549
System.Digestive System.Intestine.SMALL INTESTINE,1.20968,4.11061,7.59665,10.4187,13.2762
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,2.11038,6.42633,10.7284,11.8556
System.Digestive System.Liver.LIVER,0.113644,2.16272,5.57065,7.13892,10.5001
System.Nervous System.CNS.MEDULLA,0.113644,1.20968,5.08533,7.60317,11.9774
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,1.81287,3.6921,5.05049,6.10305,8.61096
System.Immune System.Myeloid.KUPFFER CELL,0.113644,0.113644,5.02012,8.31224,8.9153
System.Digestive System.Intestine.COLON MUCOSA,0.113644,2.07526,4.77745,11.754,13.2393
System.Cardiovascular System.Heart.VENTRICLE,1.20968,3.56825,4.31312,4.96278,6.09783
System.Respiratory System.Lung.LUNG,0.113644,1.20968,4.00388,9.44814,12.1967
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,3.56825,8.54854,10.8643
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,2.16272,3.48123,5.81869,10.2906
System.Integumentary System.Skin.SKIN,0.113644,0.113644,3.39116,12.1014,13.516
System.Cardiovascular System.Heart.ATRIUM,0.113644,0.113644,2.77076,4.56034,5.39497
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,2.16272,5.20789,8.65894
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,1.20968,1.81287,2.61696,3.05618
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,1.81287,2.61696,3.65108
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,1.20968,1.81287,2.16272,3.1737
System.Nervous System.CNS.THALAMUS,0.113644,0.113644,1.20968,1.9878,3.82273
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,1.20968,1.20968,3.1737
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,1.20968,2.41968,4.84279
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,1.20968,2.61696,6.84655
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,1.20968,2.41968,6.57397
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,0.113644,1.20968,1.81287,3.05618
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,0.113644,1.20968,2.16272,2.61696
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,1.20968,2.61696,4.21911
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,0.113644,1.20968,2.16272,3.39116
System.Cardiovascular System.Heart.VALVE,0.113644,0.113644,1.20968,2.16272,5.64198
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,0.113644,1.20968,2.16272,4.11061
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,0.113644,2.16272,5.43123
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,0.113644,1.20968,7.08296
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,3.11494,9.06934
System.Nervous System.CNS.PONS,0.113644,0.113644,0.113644,9.39483,13.0785
System.Cardiovascular System.Heart.HEART,0.113644,0.113644,0.113644,3.76961,7.28786
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,1.81287
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,0.113644,1.20968,3.21271
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,0.113644,1.81287
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,0.113644,3.28517
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,3.53994
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,3.96669,8.65393
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,6.71195,10.1985
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,0.113644,1.20968
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,0.113644,1.81287,9.92279
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,1.20968
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,0.113644,2.16272,5.22274
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,1.20968,3.1737
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,0.113644,1.20968,3.64478
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,0.113644,2.16272,9.38914
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,0.113644,0.113644,3.26845
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,0.113644,1.47302
System.Nervous System.Eye.RETINA,0.113644,0.113644,0.113644,1.20968,8.0535
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,1.81287,11.1486
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,0.113644,2.16272,3.5759
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,0.113644,0.113644,1.20968,2.41968
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,0.113644,1.81287,4.05534
System.Nervous System.CNS.CEREBELLUM,0.113644,0.113644,0.113644,0.113644,2.41968
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,0.113644,0.113644,0.387653,1.94594
System.Nervous System.CNS.HYPOTHALAMUS,0.113644,0.113644,0.113644,1.81287,5.31967
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,0.113644,1.81287,7.66866
System.Nervous System.CNS.NEURON,0.113644,0.113644,0.113644,1.20968,3.05618
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,0.113644,0.113644,1.20968
System.Nervous System.CNS.SPINAL CORD,0.113644,0.113644,0.113644,0.113644,1.20968
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,0.113644,0.113644,2.16272,3.89584
