id,min,q1,median,q3,max
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,3.1737,7.70221,8.39095,8.72567,9.17232
System.Digestive System.Intestine.SMALL INTESTINE,3.24911,6.83811,8.16697,8.86883,9.82757
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,2.61696,7.23223,7.95918,9.09883,9.98119
System.Respiratory System.Trachea.TRACHEA,4.85402,6.72289,7.57981,8.11752,9.04557
System.Digestive System.Liver.HEPATOCYTE,4.77752,6.47324,7.49163,8.62634,9.69179
System.Digestive System.Intestine.COLON,0.113644,4.96278,7.08846,8.87813,10.1212
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,7.00003,8.72457,9.88245
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,2.59773,4.0968,6.84261,9.38351,10.3184
System.Urogenital/Reproductive System.Kidney.PODOCYTE,4.56615,6.04154,6.62962,7.56718,8.32833
System.Integumentary System.Skin.BASAL CELL,1.20968,5.31558,6.54968,7.1771,7.95196
System.Digestive System.Pancreas.BETA CELL,0.113644,1.20968,6.54968,8.22428,9.40499
System.Digestive System.Intestine.COLON MUCOSA,2.88741,4.61229,6.45859,7.98939,9.24324
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,4.76117,6.27387,7.25566,8.61317
System.Immune System.Myeloid.KUPFFER CELL,4.67103,5.32876,6.16227,6.9153,7.44063
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,4.51527,6.16133,7.243,8.43377
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,3.76961,5.12981,6.06471,6.94348,7.67512
System.Digestive System.Liver.LIVER,0.113644,3.9543,5.99799,7.17515,8.69555
System.Integumentary System.Skin.KERATINOCYTE,4.20867,5.40837,5.91845,6.50485,7.41255
System.Nervous System.CNS.CEREBELLUM,2.77595,4.74622,5.8662,6.80097,7.74446
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,4.71212,5.18213,5.79561,6.48238,7.37535
System.Integumentary System.Skin.MELANOCYTE,2.17557,5.0854,5.77793,6.16342,7.11721
System.Nervous System.CNS.SPINAL CORD,2.92457,4.47438,5.7177,6.72519,7.76184
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,2.77595,4.3519,5.41928,6.47553,8.23972
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,2.92457,5.31558,7.21464,8.25633
System.Cardiovascular System.Heart.VENTRICLE,3.56825,4.67269,5.28658,5.98306,6.77744
System.Respiratory System.Lung.LUNG,0.113644,3.39116,5.25971,6.74966,8.85758
System.Nervous System.PNS.SENSORY NEURON,3.43619,4.51736,5.23546,5.79185,6.37631
System.Nervous System.CNS.MEDULLA,1.36048,3.48123,5.18213,6.48814,8.70181
System.Nervous System.CNS.ASTROCYTE,0.113644,4.11061,5.18213,6.11658,7.89585
System.Nervous System.CNS.OLIGODENDROCYTE,3.43619,4.00388,5.18213,6.10721,7.11356
System.Urogenital/Reproductive System.Kidney.KIDNEY,1.20968,4.16691,5.12981,7.63165,9.61794
System.Cardiovascular System.Heart.ATRIUM,2.82797,4.03008,4.94657,5.4248,6.10416
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,3.39116,4.93037,6.24863,7.93447
System.Connective Tissue.Adipose tissue.ADIPOCYTE,2.8354,4.11061,4.80976,5.49388,7.27812
System.Nervous System.Eye.RETINA,0.113644,3.48123,4.80976,5.89821,8.04591
System.Connective Tissue.Bone marrow.CHONDROCYTE,2.98685,4.31312,4.80976,5.83119,8.42904
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,3.05618,4.77752,6.7638,8.75399
System.Nervous System.CNS.HYPOTHALAMUS,2.8555,3.70787,4.71212,5.72615,6.88942
System.Muscular System.Smooth muscle.MYOFIBROBLAST,3.01011,4.17996,4.71212,5.53554,6.85775
System.Integumentary System.Skin.SKIN,0.113644,3.1737,4.67269,5.5514,7.2662
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,4.59911,5.6035,8.47897
System.Nervous System.CNS.THALAMUS,0.113644,3.28517,4.59911,5.58974,7.01859
System.Digestive System.Liver.HEPATIC STELLATE CELL,2.92457,4.00388,4.56034,4.99416,5.63312
System.Connective Tissue.Bone.OSTEOBLAST,2.62491,4.06916,4.53781,5.07842,5.63112
System.Cardiovascular System.Heart.HEART,0.113644,3.1737,4.51527,5.59303,7.39734
System.Integumentary System.Skin.HAIR FOLLICLE,1.60175,3.28517,4.36936,5.20697,8.12075
System.Connective Tissue.Bone.STROMAL CELL,0.113644,1.81287,4.3519,5.47412,8.07667
System.Integumentary System.Skin.FIBROBLAST,0.113644,3.05618,4.3519,5.07842,6.65291
System.Cardiovascular System.Heart.VALVE,2.61696,3.64478,4.31312,4.92273,6.05247
System.Nervous System.CNS.NEURON,0.113644,2.16272,4.21911,5.47412,7.7752
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,1.95281,3.48123,4.11061,4.77752,5.69324
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,3.39116,4.05534,4.63537,5.96743
System.Nervous System.CNS.CEREBRAL CORTEX,2.40683,3.05618,3.59455,3.99338,4.57732
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,3.56825,4.63537,10.3546
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,3.1737,4.89983,7.01902
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,3.11494,4.70226,6.29443
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,2.41968,4.47438,6.00959
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,2.16272,3.28517,5.79716
System.Nervous System.CNS.PONS,0.113644,0.113644,2.16272,5.18213,8.08146
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,0.113644,1.81287,2.92457,5.20789
System.Immune System.Thymus.THYMUS,0.113644,0.113644,1.20968,2.35544,5.25156
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,1.20968,3.39116,6.61965
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,1.20968,2.77595,4.43328
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,4.51978
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,7.89585,10.4221
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,3.39116
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,1.20968,3.67001
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,2.85769
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,2.41968
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,0.113644,2.41968,5.14612
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,1.81287,3.94553
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,1.20968,4.77752
