id,min,q1,median,q3,max
System.Digestive System.Liver.HEPATOCYTE,1.81287,6.2249,7.46884,8.24342,9.09152
System.Respiratory System.Trachea.TRACHEA,0.990474,3.1737,6.65623,7.83709,8.84739
System.Digestive System.Liver.LIVER,0.113644,1.20968,6.57131,8.26064,9.03811
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,4.71212,6.267,7.14128,7.81429
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,4.45275,5.88569,6.88558,8.03279
System.Digestive System.Intestine.COLON,0.113644,2.92457,5.59303,7.20248,8.48092
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,2.61696,5.4736,6.78736,7.75639
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,2.16272,5.38652,6.90336,8.39913
System.Integumentary System.Skin.BASAL CELL,0.113644,1.20968,5.28658,6.2249,7.88289
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,1.81287,5.2569,8.46713,8.88904
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,1.38806,5.01285,8.69531,9.22332
System.Integumentary System.Skin.KERATINOCYTE,0.113644,3.05618,4.77752,6.56004,8.29928
System.Immune System.Myeloid.KUPFFER CELL,0.113644,0.113644,4.41512,8.1578,8.36865
System.Digestive System.Intestine.COLON MUCOSA,0.113644,2.41968,4.16691,5.17661,8.78205
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,1.20968,4.11061,6.09783,7.50141
System.Nervous System.PNS.SENSORY NEURON,0.113644,1.20968,3.39116,4.11061,5.27552
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,3.1737,4.56034,6.01193
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,2.77595,5.18213,7.26685
System.Nervous System.CNS.HYPOTHALAMUS,0.332852,2.16272,2.61696,3.1737,4.35596
System.Nervous System.CNS.CEREBRAL CORTEX,1.20968,1.81287,2.51832,4.19255,5.92203
System.Nervous System.CNS.THALAMUS,0.113644,1.20968,2.41968,2.99037,4.16807
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,1.81287,2.16272,2.77595,3.1737
System.Nervous System.CNS.MEDULLA,0.113644,0.387653,2.16272,4.43111,5.83507
