id,min,q1,median,q3,max
System.Immune System.Myeloid.MACROPHAGE,0.113644,6.53965,9.00801,11.2078,14.0973
System.Immune System.Myeloid.DENDRITIC CELL,4.75561,6.81484,8.85446,11.4714,15.1641
System.Immune System.Spleen.SPLEEN,0.113644,6.62962,8.81617,10.6679,13.2097
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,6.2249,8.74681,10.4075,12.5501
System.Immune System.Granulocytic.NEUTROPHIL,5.70754,6.93534,7.62734,9.62186,11.2306
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,5.0422,7.22182,8.43911,9.50398
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,3.55332,6.81119,9.27957,10.2198
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,2.89737,5.43598,6.34193,10.4519,11.5903
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,5.37289,6.20187,7.36433,9.77363
System.Integumentary System.Skin.KERATINOCYTE,0.113644,3.28517,4.77752,5.90239,7.87472
System.Immune System.Thymus.THYMOCYTE,0.113644,1.81287,4.74622,6.49365,9.73854
System.Nervous System.CNS.PONS,0.113644,0.113644,4.71212,7.19032,10.4051
System.Immune System.Thymus.THYMUS,1.72239,2.77595,4.26612,7.10355,9.84074
System.Cardiovascular System.Heart.VALVE,0.113644,1.20968,3.22943,4.30221,5.15699
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,2.77595,4.80976,7.3968
System.Cardiovascular System.Heart.VENTRICLE,0.113644,2.16272,2.77595,3.39116,4.31312
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,0.113644,2.51832,5.47327,7.31003
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,2.51832,4.13902,6.81737
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,2.41968,3.9543,9.67774
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,2.41968,4.67269,10.5584
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,0.113644,2.41968,3.28517,4.84279
System.Digestive System.Liver.LIVER,0.113644,0.113644,2.16272,3.76961,9.89071
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,1.9878,4.56034,8.08188
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,1.84095,5.61681,10.025
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,0.113644,1.81287,3.22943,7.31276
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,1.81287,4.00388,7.88292
System.Digestive System.Intestine.COLON,0.113644,0.113644,1.81287,4.3519,7.96325
System.Integumentary System.Skin.SKIN,0.113644,0.113644,1.81287,4.05534,7.44003
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,1.20968,3.39116,5.7248
System.Cardiovascular System.Heart.ATRIUM,0.113644,0.113644,1.20968,2.77595,3.35406
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,1.20968,3.11141,8.03582
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,0.113644,1.81287,9.13034
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,0.113644,0.113644,2.41968,8.13855
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,0.661663,4.96591
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,0.113644,0.113644,5.04804
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,0.113644,0.113644,0.113644,0.113644
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,0.113644,1.81287,5.2269
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.113644,0.113644,2.60818,6.1
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,0.113644,0.113644,0.113644,2.71235
System.Immune System.Myeloid.KUPFFER CELL,0.113644,0.113644,0.113644,5.0222,5.69442
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,0.113644,1.20968,3.76961
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,0.113644,0.113644,0.113644,2.77595
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,0.113644,0.113644,1.20968,3.64095
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,0.113644,0.113644,1.81287,5.50541
System.Cardiovascular System.Heart.HEART,0.113644,0.113644,0.113644,2.41968,8.60031
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,0.113644,2.88741,5.57848
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,5.28658,9.05539
