id,min,q1,median,q3,max
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,12.2459,13.0617,13.5489,13.8626
System.Digestive System.Intestine.SMALL INTESTINE,1.81287,4.0854,10.6668,12.7954,14.6077
System.Digestive System.Intestine.COLON,0.113644,0.113644,8.80798,13.381,14.8584
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,1.9878,7.96808,8.8912,9.61989
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,7.66444,14.3003,15.543
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,1.20968,6.9657,8.91296,10.4191
System.Cardiovascular System.Heart.VALVE,2.11024,4.78558,6.05681,7.35866,10.4923
System.Digestive System.Liver.LIVER,0.113644,2.41968,6.01703,8.05706,10.3455
System.Digestive System.Liver.HEPATOCYTE,0.113644,3.9543,5.49388,7.03085,9.91478
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,4.13902,5.37559,6.36229,7.50499
System.Nervous System.CNS.SPINAL CORD,0.113644,3.56825,5.20789,6.23741,7.44855
System.Immune System.Myeloid.KUPFFER CELL,0.27805,2.88741,4.47,6.09078,6.44761
System.Nervous System.CNS.MEDULLA,0.113644,1.20968,4.24429,8.22784,9.56878
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,2.469,4.02961,5.25365,9.21935
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,2.61696,3.92507,4.84279,7.37977
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,3.64478,7.96365,11.0735
System.Integumentary System.Skin.BASAL CELL,0.113644,1.81287,3.64478,5.91377,11.1198
System.Cardiovascular System.Heart.HEART,0.113644,0.113644,3.28517,5.57065,8.82212
System.Cardiovascular System.Heart.ATRIUM,0.497257,1.81287,3.05618,4.17996,5.22581
System.Cardiovascular System.Heart.VENTRICLE,0.113644,1.81287,2.92457,3.70787,5.81188
System.Digestive System.Intestine.COLON MUCOSA,0.113644,1.20968,2.77076,12.5367,14.8548
System.Nervous System.CNS.THALAMUS,0.113644,0.113644,2.41968,3.33816,4.9495
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,2.41968,5.09194,7.06191
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,0.113644,2.16272,3.1737,5.81111
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,1.20968,2.16272,3.76961,8.32327
System.Nervous System.CNS.HYPOTHALAMUS,0.113644,0.113644,1.81287,3.28517,4.90739
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,1.20968,2.99037,4.21911
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,1.20968,2.2912,3.59455
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,1.20968,2.61696,5.52855
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,1.20968,4.77752,9.38315
System.Nervous System.Eye.RETINA,0.113644,0.113644,1.20968,2.77595,7.30832
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,1.20968,4.6227,10.1538
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,1.20968,3.89584,8.03006
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,1.20968,3.76961,6.99876
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,0.113644,1.20968,2.56764,5.28833
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,0.113644,1.20968,2.77595,5.45218
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,1.20968,8.53721,12.6343
System.Respiratory System.Lung.LUNG,0.113644,0.113644,1.20968,4.99416,9.84308
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,1.81287,7.02831
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,0.113644,2.41968,4.45382
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,0.113644,0.113644,1.81287,3.4452
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,1.81287,5.64289
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,0.113644,3.5465,6.79201
System.Nervous System.CNS.PONS,0.113644,0.113644,0.113644,2.16272,11.2121
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,2.41968,6.39129
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,2.16272
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,0.113644,4.77954
System.Nervous System.CNS.NEURON,0.113644,0.113644,0.113644,1.20968,4.63537
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,0.113644,1.20968,7.39898
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,4.89983,8.31042
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,2.61696,7.42336
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,0.113644,1.81287
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,0.113644,0.113644,5.21866
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,3.5639
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,0.113644
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,1.20968
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,1.20968
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,0.113644
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,0.113644,0.113644,5.27251
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,0.113644,0.113644,3.15607
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,0.113644,3.48123
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,0.113644,2.16272
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,0.113644,2.16272
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,0.113644,1.20968,5.3649
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,0.113644,1.20968,6.64356
System.Integumentary System.Skin.SKIN,0.113644,0.113644,0.113644,4.40897,8.08505
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,0.113644,0.113644,2.77595
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,0.113644,2.16272,5.98306
System.Nervous System.CNS.CEREBELLUM,0.113644,0.113644,0.113644,1.20968,3.1737
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,0.113644,0.113644,0.113644,1.25733
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,0.113644,2.92457,6.45268
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,0.113644,1.20968,4.9837
