id,min,q1,median,q3,max
System.Integumentary System.Skin.MELANOCYTE,10.554,12.072,13.4353,14.1893,15.8438
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,12.2604,12.6349,13.0553,13.3299,13.7952
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,10.8819,12.0522,12.9203,13.677,14.3499
System.Digestive System.Liver.HEPATIC STELLATE CELL,9.91566,11.7968,12.7034,13.6666,14.4659
System.Connective Tissue.Bone.OSTEOBLAST,11.3084,12.0957,12.6214,13.2789,14.0211
System.Urogenital/Reproductive System.Kidney.PODOCYTE,10.4971,11.9541,12.5558,13.3411,14.1953
System.Integumentary System.Skin.HAIR FOLLICLE,11.0068,12.0481,12.5134,12.9317,13.7331
System.Integumentary System.Skin.FIBROBLAST,8.52925,11.1775,12.4166,13.464,14.7959
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,8.61482,10.9912,12.2423,13.2969,14.376
System.Muscular System.Smooth muscle.MYOFIBROBLAST,9.3737,10.623,12.1812,13.3921,13.9959
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,8.87454,11.4421,12.1658,12.5649,12.9036
System.Cardiovascular System.Heart.VALVE,10.6256,11.6849,12.0648,12.5311,13.7986
System.Muscular System.Skeletal muscle.MYOBLAST,7.96219,10.328,11.9256,13.3079,14.4399
System.Urogenital/Reproductive System.Breast.BREAST,1.20968,10.2578,11.9142,12.9992,14.1126
System.Digestive System.Intestine.COLON MUCOSA,9.07414,11.0066,11.9095,13.4726,14.343
System.Integumentary System.Skin.SKIN,7.07773,10.7948,11.8024,12.5816,14.0232
System.Respiratory System.Trachea.TRACHEA,9.21924,11.0762,11.7876,12.4823,13.3973
System.Connective Tissue.Adipose tissue.ADIPOCYTE,8.38312,10.4858,11.7684,12.7769,14.1867
System.Integumentary System.Skin.KERATINOCYTE,9.41763,10.923,11.711,12.3272,13.0057
System.Connective Tissue.Bone.STROMAL CELL,5.52077,9.89373,11.521,12.884,14.4197
System.Nervous System.CNS.MEDULLA,7.24758,9.0896,11.4955,12.2177,13.1027
System.Respiratory System.Lung.LUNG,2.77595,9.45761,11.4622,12.4688,14.2458
System.Immune System.Myeloid.KUPFFER CELL,10.3774,10.6318,11.4372,12.5919,13.3102
System.Integumentary System.Skin.BASAL CELL,6.69652,10.6406,11.4211,12.003,12.8431
System.Digestive System.Esophagus.ESOPHAGUS,9.01149,10.6662,11.4069,12.1351,13.1306
System.Nervous System.CNS.ASTROCYTE,5.51459,8.72465,11.3442,12.4007,13.9026
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,10.4031,10.4761,11.0857,11.7201,13.2806
System.Cardiovascular System.Heart.HEART,5.87724,10.1582,10.9207,11.521,12.8617
System.Digestive System.Intestine.COLON,4.43111,9.43732,10.8563,12.3657,13.9155
System.Cardiovascular System.Heart.VENTRICLE,9.54469,10.3718,10.8446,11.2841,11.9118
System.Digestive System.Liver.LIVER,5.65482,9.95727,10.7535,11.532,12.6881
System.Connective Tissue.Adipose tissue.ADIPOSE,7.42462,10.0558,10.6913,11.7119,12.9456
System.Connective Tissue.Bone marrow.CHONDROCYTE,6.39316,9.35948,10.6685,12.3004,13.4348
System.Immune System.Myeloid.MICROGLIA,7.49997,9.99958,10.6508,11.2411,12.2642
System.Nervous System.Eye.RETINA,0.113644,6.79623,10.5601,12.607,14.1286
System.Cardiovascular System.Heart.ATRIUM,8.44515,9.67321,10.5234,11.056,11.4873
System.Nervous System.CNS.OLIGODENDROCYTE,7.59921,9.10003,10.4015,11.8072,12.5327
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.53526,9.59424,10.2394,10.9641,12.0413
System.Digestive System.Liver.HEPATOCYTE,6.48464,8.86664,9.9708,10.9281,12.5478
System.Urogenital/Reproductive System.Kidney.KIDNEY,3.9543,8.05298,9.85717,11.0985,13.2234
System.Nervous System.CNS.SPINAL CORD,7.99142,9.05717,9.74799,10.2918,11.6706
System.Immune System.Myeloid.MACROPHAGE,1.81287,7.34635,9.473,10.6394,11.9091
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,6.17759,9.45427,11.3011,12.9036
System.Nervous System.CNS.THALAMUS,7.50864,8.66477,9.4297,10.6656,11.3165
System.Nervous System.CNS.HYPOTHALAMUS,7.30122,8.71085,9.4297,10.4699,11.3345
System.Nervous System.CNS.NEURON,1.81287,7.19032,9.40484,11.1041,12.5816
System.Digestive System.Intestine.SMALL INTESTINE,5.97499,7.33463,9.08045,10.6086,13.7158
System.Nervous System.PNS.MOTOR NEURON,0.113644,5.72615,8.92875,10.2399,12.0833
System.Digestive System.Pancreas.BETA CELL,0.113644,5.68765,8.85232,10.2662,11.8152
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,5.52379,7.7431,8.41262,9.37002,15.6667
System.Nervous System.CNS.PONS,0.113644,3.9543,8.04272,10.9021,12.7406
System.Nervous System.CNS.MIDBRAIN,0.113644,7.03478,7.74954,10.1283,12.2651
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,3.78525,7.5684,10.0415,12.4977
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,5.25971,6.70196,7.52411,9.2052,12.6843
System.Immune System.Myeloid.DENDRITIC CELL,2.41968,4.70946,7.50607,9.22156,10.5639
System.Nervous System.CNS.CEREBELLUM,5.25971,6.13094,6.92548,7.52504,9.43006
System.Nervous System.PNS.SENSORY NEURON,3.42671,5.62393,6.58321,8.72465,12.4375
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,6.48238,9.43203,11.3043
System.Nervous System.CNS.CEREBRAL CORTEX,4.03482,5.77402,6.41029,7.75598,12.6076
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,6.37631,8.17413,10.2791
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,3.58738,5.65357,7.30597,8.98652
System.Immune System.Spleen.SPLEEN,0.113644,3.1737,5.25971,7.14836,10.8678
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,2.92457,4.65403,8.14462,13.3936
System.Immune System.Lymphoid.TLYMPHOCYTE,1.20968,3.05618,4.59911,5.82639,7.19327
System.Immune System.Granulocytic.NEUTROPHIL,1.20968,3.48123,4.47438,5.80336,7.80265
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,2.41968,4.38682,6.89575,10.9223
System.Immune System.Thymus.THYMUS,1.81287,2.77595,4.36936,6.78459,10.8363
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,2.27835,3.56825,4.31312,7.08649,9.948
System.Immune System.Thymus.THYMOCYTE,0.113644,3.56825,4.26947,4.71212,5.72277
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,2.07526,3.05618,4.11061,11.3527
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,2.41968,6.60849,12.4227
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,8.55418,13.7886
