id,min,q1,median,q3,max
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,9.49226,11.1939,11.8561,12.3557,12.7803
System.Digestive System.Intestine.COLON,6.20187,9.50579,10.8417,11.8024,12.5816
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,8.6924,9.78744,10.7765,11.4024,14.3275
System.Cardiovascular System.Heart.ATRIUM,9.23049,9.91747,10.6142,11.3219,11.5988
System.Urogenital/Reproductive System.Breast.BREAST,8.02584,9.59891,10.5875,11.7158,14.4612
System.Integumentary System.Skin.HAIR FOLLICLE,7.99468,9.6997,10.5788,11.033,12.0763
System.Digestive System.Intestine.COLON MUCOSA,9.15633,10.1953,10.5663,11.6545,12.4087
System.Immune System.Myeloid.KUPFFER CELL,10.0635,10.1857,10.5198,11.1689,11.3049
System.Digestive System.Liver.HEPATOCYTE,8.3241,9.66533,10.4771,11.0782,11.742
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,9.8005,9.96754,10.4719,11.3141,11.8793
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,9.65623,10.1791,10.4326,10.5743,10.8513
System.Muscular System.Smooth muscle.MYOFIBROBLAST,8.37742,9.48036,10.3234,10.5601,10.7874
System.Cardiovascular System.Heart.VENTRICLE,9.25703,9.89829,10.2739,10.629,11.1826
System.Cardiovascular System.Heart.VALVE,7.68895,8.30629,10.2692,10.6591,11.7407
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,8.37676,8.99676,10.2482,11.5759,12.1617
System.Integumentary System.Skin.KERATINOCYTE,8.48805,9.78515,10.2029,10.7948,12.1256
System.Respiratory System.Trachea.TRACHEA,8.57761,9.49626,10.2011,10.908,11.784
System.Integumentary System.Skin.SKIN,6.82306,8.84201,10.1908,11.3931,12.2559
System.Connective Tissue.Bone.OSTEOBLAST,8.79195,9.72031,10.1466,10.362,11.076
System.Integumentary System.Skin.MELANOCYTE,8.40491,9.50204,10.1369,10.5191,11.3243
System.Digestive System.Liver.HEPATIC STELLATE CELL,9.41602,9.87999,10.1245,10.3487,10.6066
System.Nervous System.CNS.OLIGODENDROCYTE,7.45105,9.66618,10.0971,10.3988,11.2757
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,8.35296,9.34377,10.0735,10.3882,10.718
System.Urogenital/Reproductive System.Ovary.OVARY,3.76659,7.94661,10.0396,11.2535,12.8631
System.Urogenital/Reproductive System.Kidney.PODOCYTE,8.77422,9.61646,10.0374,10.6303,10.9143
System.Integumentary System.Skin.BASAL CELL,5.88569,9.07355,10.0199,11.1469,12.0972
System.Nervous System.CNS.ASTROCYTE,6.61965,8.9198,9.9848,10.545,11.1998
System.Nervous System.CNS.HYPOTHALAMUS,7.36217,9.1361,9.95969,10.9973,11.7352
System.Connective Tissue.Bone marrow.CHONDROCYTE,5.83794,8.66009,9.83235,10.4474,11.0128
System.Integumentary System.Skin.FIBROBLAST,7.14836,8.77715,9.79244,10.3838,11.345
System.Digestive System.Liver.LIVER,6.37631,8.37004,9.79044,10.908,11.8136
System.Urogenital/Reproductive System.Kidney.KIDNEY,6.73422,8.83547,9.70667,10.6481,12.3969
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,8.62012,9.65078,10.274,10.9376
System.Respiratory System.Lung.LUNG,6.27464,8.35972,9.61987,10.5176,11.857
System.Nervous System.CNS.THALAMUS,7.31131,8.69484,9.5203,10.4655,11.6226
System.Nervous System.CNS.SPINAL CORD,8.27953,9.10686,9.51644,9.98806,10.6919
System.Digestive System.Esophagus.ESOPHAGUS,7.52477,8.8568,9.47718,10.2828,12.3248
System.Connective Tissue.Bone.STROMAL CELL,6.90868,8.32102,9.46706,10.0787,10.5551
System.Cardiovascular System.Heart.HEART,6.48238,7.81817,9.39847,10.5095,11.5307
System.Nervous System.CNS.MEDULLA,6.49642,8.50859,9.38176,10.5202,11.6793
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,7.97157,8.62787,9.32279,10.4675,10.9569
System.Connective Tissue.Adipose tissue.ADIPOCYTE,7.26978,8.42013,9.27441,9.85522,10.7909
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,7.12171,8.65908,9.20348,9.6997,10.3813
System.Digestive System.Intestine.SMALL INTESTINE,6.50169,7.74629,9.16516,10.8968,12.6412
System.Nervous System.Eye.RETINA,6.45202,7.90454,8.79848,9.95576,10.9339
System.Nervous System.CNS.CEREBRAL CORTEX,6.59685,7.21398,8.77132,9.90946,10.1974
System.Nervous System.CNS.NEURON,5.76006,7.35149,8.73232,9.85522,10.9346
System.Urogenital/Reproductive System.Testis.TESTIS,4.59829,6.9535,8.51018,10.0442,11.5843
System.Immune System.Myeloid.MICROGLIA,5.69219,7.16556,8.45124,8.90075,10.3394
System.Connective Tissue.Adipose tissue.ADIPOSE,7.07696,7.90918,8.44788,8.9819,10.1543
System.Nervous System.CNS.MIDBRAIN,6.34795,8.02123,8.37793,9.55929,11.2964
System.Urogenital/Reproductive System.Ovary.GRANULOSA,2.77595,5.64461,8.36094,9.54347,10.6565
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,6.70196,8.19977,9.11944,10.3404
System.Nervous System.CNS.PONS,4.99416,6.87137,8.115,10.062,12.1493
System.Nervous System.PNS.MOTOR NEURON,4.87097,7.13293,7.98584,9.26347,10.6245
System.Digestive System.Pancreas.BETA CELL,0.113644,6.47122,7.43852,8.87056,10.9986
System.Immune System.Lymphoid.BLYMPHOCYTE,6.20187,7.04877,7.37048,8.12393,9.67443
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,5.96349,7.31085,9.01458,10.3661
System.Digestive System.Pancreas.ALPHA CELL,0.113644,6.408,7.31085,8.15128,9.49899
System.Immune System.Lymphoid.PLASMA CELL,0.113644,5.70917,7.18296,8.64543,9.75862
System.Immune System.Granulocytic.NEUTROPHIL,6.03254,6.71195,7.14836,7.72192,8.79084
System.Immune System.Thymus.THYMOCYTE,6.28795,6.74061,7.13293,7.75317,8.10339
System.Nervous System.CNS.CEREBELLUM,6.26175,6.76229,7.09227,7.58896,9.05253
System.Immune System.Thymus.THYMUS,5.88277,6.51865,7.04238,7.45419,8.22001
System.Immune System.Granulocytic.GRANULOCYTE,5.45333,6.12266,6.81028,8.25848,10.5694
System.Immune System.Spleen.SPLEEN,4.67269,6.07935,6.64674,7.57981,9.67365
System.Immune System.Lymphoid.TLYMPHOCYTE,5.89571,6.27464,6.57131,6.83068,7.67685
System.Urogenital/Reproductive System.Ovary.OOCYTE,2.41968,4.19301,6.45202,8.93022,10.1988
