id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,12.1704,12.8322,13.1328,13.2789,13.464
System.Connective Tissue.Bone marrow.CHONDROCYTE,11.106,11.6491,11.9402,12.536,13.2612
System.Integumentary System.Skin.HAIR FOLLICLE,9.57002,11.2717,11.8367,12.2673,12.9082
System.Connective Tissue.Adipose tissue.ADIPOSE,9.55156,11.3287,11.8192,12.3272,12.6041
System.Muscular System.Smooth muscle.MYOFIBROBLAST,9.59625,10.3985,11.6505,11.9782,12.4264
System.Digestive System.Liver.HEPATIC STELLATE CELL,10.4115,11.1031,11.6359,12.0226,12.8843
System.Nervous System.CNS.OLIGODENDROCYTE,8.64657,10.6243,11.5328,11.9948,12.5118
System.Cardiovascular System.Heart.VALVE,9.68702,10.193,11.4949,11.7724,11.9086
System.Integumentary System.Skin.FIBROBLAST,9.3482,10.6718,11.4463,12.0395,12.795
System.Nervous System.CNS.CEREBELLUM,9.07973,10.8667,11.4183,11.9991,12.9203
System.Connective Tissue.Bone.OSTEOBLAST,10.4024,10.9922,11.2865,11.7223,12.6179
System.Cardiovascular System.Heart.ATRIUM,10.1614,10.873,11.279,11.5313,12.013
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,9.59545,10.5572,11.1984,11.8277,12.3645
System.Nervous System.CNS.ASTROCYTE,7.82526,10.1053,11.1841,11.9981,12.8369
System.Connective Tissue.Adipose tissue.ADIPOCYTE,9.9004,10.732,11.1631,11.507,12.1978
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,9.65695,10.6625,11.0885,11.6216,12.0345
System.Cardiovascular System.Heart.VENTRICLE,10.4162,10.8185,11.0834,11.371,11.7538
System.Nervous System.CNS.HYPOTHALAMUS,10.2355,10.6322,10.9675,11.3417,12.2386
System.Nervous System.CNS.SPINAL CORD,10.228,10.6019,10.9184,11.2805,11.9129
System.Nervous System.CNS.THALAMUS,9.26352,10.3193,10.8344,11.3161,12.5528
System.Connective Tissue.Bone.STROMAL CELL,7.98118,9.66949,10.8115,11.4602,12.1634
System.Integumentary System.Skin.MELANOCYTE,8.98348,9.97903,10.7204,11.1567,12.1625
System.Urogenital/Reproductive System.Ovary.OVARY,6.83068,9.58307,10.7105,11.7262,12.819
System.Digestive System.Intestine.COLON MUCOSA,6.60273,9.25924,10.6497,11.4226,12.7117
System.Integumentary System.Skin.SKIN,6.06738,9.28798,10.6363,11.5195,12.545
System.Nervous System.PNS.SENSORY NEURON,8.56395,9.68444,10.5512,11.4483,12.2176
System.Digestive System.Pancreas.ALPHA CELL,7.99898,9.459,10.5407,11.3569,12.1648
System.Nervous System.CNS.NEURON,7.69953,9.51301,10.5382,11.395,12.6003
System.Nervous System.CNS.CEREBRAL CORTEX,7.64303,9.54028,10.4531,10.9571,11.8627
System.Digestive System.Pancreas.BETA CELL,7.70757,9.36001,10.4473,11.3859,11.9611
System.Urogenital/Reproductive System.Kidney.PODOCYTE,8.10735,9.85524,10.325,10.8537,11.5702
System.Cardiovascular System.Heart.HEART,7.37824,9.76151,10.2838,11.1571,11.8046
System.Nervous System.PNS.MOTOR NEURON,7.58318,9.31329,10.2463,11.1457,12.1588
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,8.78698,10.0191,11.0178,12.131
System.Urogenital/Reproductive System.Ovary.GRANULOSA,5.83834,8.34878,10.0141,11.5782,12.7231
System.Nervous System.CNS.MEDULLA,7.15038,9.09563,9.9666,10.682,11.8396
System.Urogenital/Reproductive System.Testis.TESTIS,4.47438,8.16138,9.8775,11.1648,12.5495
System.Nervous System.Eye.RETINA,6.75155,8.88726,9.86149,10.6269,11.5209
System.Digestive System.Intestine.SMALL INTESTINE,5.1769,8.40729,9.85266,11.05,11.8169
System.Muscular System.Skeletal muscle.MYOBLAST,7.30247,8.9827,9.83286,10.57,11.2514
System.Urogenital/Reproductive System.Kidney.KIDNEY,6.78736,9.07382,9.78303,10.5989,12.1029
System.Respiratory System.Lung.LUNG,5.10633,8.10195,9.75323,10.9281,12.272
System.Nervous System.CNS.MIDBRAIN,7.34156,9.45428,9.71243,10.7392,12.0053
System.Urogenital/Reproductive System.Ovary.OOCYTE,6.05008,8.81321,9.60298,10.5224,12.002
System.Immune System.Thymus.THYMOCYTE,7.47989,9.0288,9.60083,10.034,10.7964
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,7.80663,9.02752,9.46706,10.0247,11.5731
System.Immune System.Myeloid.MICROGLIA,5.59904,7.79475,9.29955,12.0688,12.574
System.Urogenital/Reproductive System.Breast.BREAST,6.05008,7.66804,9.15057,10.777,12.4925
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,5.9564,8.45606,9.08885,11.3537,11.9155
System.Immune System.Myeloid.MACROPHAGE,5.28658,7.35721,8.81277,9.9708,12.3416
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,6.48083,7.44421,8.80133,9.95296,11.4678
System.Digestive System.Intestine.COLON,3.76961,7.10985,8.67553,10.1686,12.5736
System.Immune System.Thymus.THYMUS,5.8233,7.41522,8.63866,9.54487,10.762
System.Digestive System.Esophagus.ESOPHAGUS,5.60113,7.02398,8.52491,10.3236,12.5886
System.Immune System.Myeloid.KUPFFER CELL,5.03094,5.54219,8.36896,10.6105,11.3832
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,4.41986,5.7861,8.24211,10.3165,10.6169
System.Immune System.Myeloid.DENDRITIC CELL,3.28517,6.64224,8.14653,9.1361,10.4968
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,5.99799,8.08164,9.38776,11.3939
System.Immune System.Spleen.SPLEEN,3.76961,6.35023,8.01158,9.44557,10.8949
System.Immune System.Lymphoid.TLYMPHOCYTE,5.80491,6.92548,7.90088,8.9972,10.1649
System.Digestive System.Liver.LIVER,1.20968,6.81028,7.83293,9.2281,11.4966
System.Nervous System.CNS.PONS,0.113644,6.33362,7.46426,9.36558,11.7632
System.Integumentary System.Skin.BASAL CELL,5.44557,6.50205,7.26758,9.62151,11.7186
System.Digestive System.Liver.HEPATOCYTE,4.56034,6.01703,7.23871,9.29283,11.206
System.Immune System.Granulocytic.GRANULOCYTE,5.38152,6.68963,7.22146,7.74139,11.1649
System.Immune System.Lymphoid.PLASMA CELL,0.113644,3.73874,7.10033,8.41258,9.75252
System.Immune System.Lymphoid.BLYMPHOCYTE,3.05618,4.59911,6.88539,9.62813,11.0651
System.Respiratory System.Trachea.TRACHEA,4.95629,5.90239,6.78736,8.39705,11.0004
System.Immune System.Granulocytic.NEUTROPHIL,4.83949,6.03426,6.61965,7.17515,8.04678
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,4.40871,5.41336,5.99799,7.28237,11.9758
System.Integumentary System.Skin.KERATINOCYTE,3.05618,5.07842,5.93591,6.88087,10.9904
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,2.41968,3.39116,4.02961,5.0351,9.21247
