id,min,q1,median,q3,max
System.Immune System.Thymus.THYMOCYTE,10.2334,10.6322,11.2261,11.5824,12.0896
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,5.12449,7.05316,11.2203,13.286,14.4832
System.Urogenital/Reproductive System.Breast.BREAST,3.81028,7.08465,10.7647,13.3674,14.766
System.Immune System.Lymphoid.TLYMPHOCYTE,1.13318,8.19977,9.45093,10.1671,11.4532
System.Immune System.Spleen.SPLEEN,0.113644,4.11061,9.26166,10.4581,11.9742
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,3.08556,9.15234,10.3387,11.8104
System.Immune System.Thymus.THYMUS,4.48495,7.64933,9.05543,10.3468,11.2941
System.Integumentary System.Skin.KERATINOCYTE,4.9814,7.47443,8.20466,9.15573,10.5007
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,3.83218,7.69953,8.8032,9.8279
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,4.15284,6.14266,7.53202,8.66833,10.4525
System.Nervous System.CNS.PONS,0.113644,2.16272,7.36331,9.20348,11.3898
System.Urogenital/Reproductive System.Kidney.KIDNEY,1.20968,5.49388,6.99029,8.50708,10.3447
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,3.89584,6.30103,8.36469,9.23573
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,2.32974,4.91557,6.14614,7.14302,8.17664
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,1.20968,5.91845,8.55873,9.71378
System.Cardiovascular System.Heart.VALVE,2.72251,4.34262,5.52384,6.34562,7.59857
System.Integumentary System.Skin.SKIN,0.113644,0.113644,5.34282,9.86447,11.6869
System.Nervous System.CNS.MEDULLA,0.113644,0.387653,4.88043,7.99328,10.6205
System.Nervous System.CNS.HYPOTHALAMUS,1.33032,2.41968,4.63537,7.54934,9.0002
System.Nervous System.CNS.THALAMUS,0.113644,2.41968,4.63537,7.24977,8.89725
System.Respiratory System.Lung.LUNG,0.113644,1.81287,4.56034,6.68963,10.3665
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,1.81287,4.43111,6.99468,8.82324
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,2.07526,4.05725,6.6288,8.90999
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,4.05534,6.51705,9.18252
System.Cardiovascular System.Heart.VENTRICLE,2.41968,3.56825,4.00388,4.51527,5.38652
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,1.81287,3.89584,5.28658,6.64434
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,1.81287,3.83218,6.10727,10.6438
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,1.81287,3.77002,4.84924,7.13676
System.Digestive System.Intestine.COLON,0.113644,1.81287,3.76961,5.04875,8.43699
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,3.64478,6.37435,12.3125
System.Cardiovascular System.Heart.HEART,0.113644,1.20968,3.56825,5.07842,8.90083
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,1.20968,3.52474,5.26643,9.56692
System.Digestive System.Liver.LIVER,0.113644,1.81287,3.48123,4.67269,9.14538
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,1.20968,3.28517,4.65403,8.7886
System.Cardiovascular System.Heart.ATRIUM,1.20968,2.16272,3.28517,4.01675,4.81994
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,1.81287,3.28517,6.2249,8.38694
System.Immune System.Myeloid.KUPFFER CELL,1.86535,2.88741,3.22943,3.50298,3.89584
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,2.22696,3.22943,4.46357,6.69318
System.Integumentary System.Skin.BASAL CELL,0.113644,1.20968,3.22367,9.50666,11.1691
System.Digestive System.Intestine.COLON MUCOSA,0.113644,1.20968,3.11494,4.12469,6.96477
System.Digestive System.Liver.HEPATOCYTE,0.113644,1.20968,3.05618,5.10633,9.34245
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,2.16272,2.92457,4.00388,5.01436
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,0.113644,2.77595,5.20789,8.14812
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,1.84317,2.77595,3.52211,3.84596
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,2.77595,4.38682,6.66548
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,1.81287,2.61696,4.49483,7.07764
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,2.41968,5.10954,8.0887
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,2.41968,4.21911,7.03085
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,2.41968,5.84343,9.06429
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,1.81287,3.48123,5.98079
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,0.113644,1.81287,4.07154,7.24942
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,1.81287,3.05618,4.82533
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,1.81287,3.89584,7.76295
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,0.113644,1.20968,4.22976,7.92621
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,1.20968,4.41131,7.67353
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,0.113644,1.20968,2.41968,3.89584
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,1.20968,3.39116,6.66913
System.Nervous System.CNS.SPINAL CORD,0.113644,0.113644,1.20968,1.81287,5.9477
System.Nervous System.CNS.NEURON,0.113644,0.113644,1.20968,3.83218,9.0288
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,1.20968,3.48123,6.90178
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,5.97137
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,1.20968,7.99199
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,0.113644,2.16272
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,4.05534,9.15839
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,0.113644,3.05618,7.99585
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,0.113644,0.113644,1.20968,2.17557
System.Nervous System.CNS.CEREBELLUM,0.113644,0.113644,0.113644,0.113644,1.10008
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,0.113644,2.41968,8.6419
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,0.113644,2.92457,6.45121
System.Nervous System.Eye.RETINA,0.113644,0.113644,0.113644,2.77595,7.23213
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,2.77595,5.75234
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,5.57065,10.0971
