id,min,q1,median,q3,max
System.Immune System.Lymphoid.BLYMPHOCYTE,8.67025,10.9569,11.8723,12.7232,13.9282
System.Integumentary System.Skin.KERATINOCYTE,8.82888,10.8146,11.5671,12.0292,12.5935
System.Integumentary System.Skin.BASAL CELL,4.23674,8.16192,10.7755,11.4447,12.3933
System.Integumentary System.Skin.MELANOCYTE,7.40438,9.68847,10.7722,11.3648,11.9625
System.Immune System.Lymphoid.TLYMPHOCYTE,7.76963,9.88889,10.7232,11.4347,12.1597
System.Respiratory System.Trachea.TRACHEA,7.52341,9.35141,10.6718,11.4333,12.6693
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,8.29236,9.0401,10.5909,11.8596,11.9258
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,8.39267,9.90932,10.478,10.885,11.9153
System.Urogenital/Reproductive System.Breast.BREAST,6.79623,9.21143,10.3813,11.4265,12.6933
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,7.23196,9.25769,10.1158,10.834,12.1519
System.Digestive System.Intestine.COLON,6.8453,8.90451,10.0093,11.4343,12.737
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,8.00718,9.54065,10.0012,10.3035,10.8794
System.Immune System.Spleen.SPLEEN,4.74622,8.57799,9.96866,11.4319,13.19
System.Respiratory System.Lung.LUNG,4.56809,8.60355,9.91936,10.9533,12.3272
System.Digestive System.Liver.HEPATIC STELLATE CELL,8.13226,9.19557,9.89648,10.4051,10.8305
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,4.70226,9.77813,10.4228,11.7415
System.Urogenital/Reproductive System.Kidney.PODOCYTE,7.30298,8.87719,9.77664,10.3829,11.1985
System.Connective Tissue.Bone.OSTEOBLAST,8.21912,9.1809,9.69376,10.1642,10.81
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.13384,8.8032,9.66508,10.657,12.1257
System.Connective Tissue.Adipose tissue.ADIPOCYTE,7.7251,8.76542,9.61987,10.7693,12.0372
System.Immune System.Lymphoid.PLASMA CELL,0.113644,7.89097,9.61085,11.03,12.8222
System.Digestive System.Esophagus.ESOPHAGUS,5.84545,8.5002,9.59131,10.9039,12.1111
System.Integumentary System.Skin.SKIN,5.51459,8.64438,9.56961,10.3971,11.9091
System.Cardiovascular System.Heart.VALVE,7.72704,8.76752,9.52633,10.8291,11.9906
System.Immune System.Thymus.THYMUS,7.94319,8.86202,9.51584,10.6232,11.957
System.Digestive System.Liver.LIVER,4.59911,7.7752,9.45919,10.7397,11.9948
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,7.36991,9.44676,10.7354,12.1524
System.Nervous System.CNS.PONS,2.68055,7.84657,9.44557,10.5176,12.2126
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,8.38422,9.38776,9.98036,10.9809
System.Urogenital/Reproductive System.Kidney.KIDNEY,4.31312,7.42854,9.34748,10.5317,12.0677
System.Connective Tissue.Bone marrow.CHONDROCYTE,6.175,8.48608,9.34262,10.5272,11.2748
System.Integumentary System.Skin.HAIR FOLLICLE,7.68077,8.8169,9.31954,9.93382,11.3361
System.Immune System.Granulocytic.NEUTROPHIL,3.27402,7.32673,9.24481,10.4073,11.1221
