id,min,q1,median,q3,max
System.Nervous System.CNS.CEREBELLUM,8.40448,9.64728,10.4914,10.9818,11.3768
System.Immune System.Thymus.THYMOCYTE,7.6307,8.97262,10.183,10.9281,11.3491
System.Connective Tissue.Adipose tissue.ADIPOCYTE,8.38163,9.48322,10.108,10.6435,11.3719
System.Connective Tissue.Adipose tissue.ADIPOSE,8.40577,9.64134,10.034,10.3596,10.8877
System.Nervous System.CNS.OLIGODENDROCYTE,8.30958,9.64909,9.93459,10.2026,10.4867
System.Immune System.Lymphoid.TLYMPHOCYTE,8.35102,9.19016,9.72243,10.296,11.1608
System.Immune System.Granulocytic.GRANULOCYTE,7.09955,9.16542,9.7064,10.1205,11.3102
System.Immune System.Thymus.THYMUS,7.96093,9.09493,9.64246,10.0967,10.9947
System.Cardiovascular System.Heart.VALVE,4.66709,5.65962,9.63308,9.98133,10.4223
System.Nervous System.CNS.CEREBRAL CORTEX,8.44265,8.91076,9.59885,9.92546,10.1803
System.Immune System.Spleen.SPLEEN,6.8453,8.99301,9.51563,10.1156,10.9346
System.Cardiovascular System.Heart.VENTRICLE,8.16069,9.02741,9.44076,9.77414,10.3774
System.Connective Tissue.Bone.OSTEOBLAST,8.12035,8.91296,9.3847,9.81167,10.3025
System.Nervous System.CNS.SPINAL CORD,8.3288,8.88536,9.35141,9.71987,10.2574
System.Immune System.Granulocytic.NEUTROPHIL,8.22093,8.94437,9.33518,9.7299,10.4003
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,6.3749,8.72214,9.32958,9.84878,10.8474
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,8.5362,9.00801,9.29509,9.60298,10.4272
System.Immune System.Myeloid.DENDRITIC CELL,7.43091,8.45866,9.29283,9.6766,10.2122
System.Integumentary System.Skin.HAIR FOLLICLE,7.75168,8.71168,9.27828,9.6603,10.3855
System.Nervous System.CNS.MEDULLA,6.33777,8.48968,9.26357,9.70496,10.3346
System.Connective Tissue.Bone.STROMAL CELL,0.113644,8.60695,9.24438,9.81463,10.6552
System.Immune System.Myeloid.MICROGLIA,4.59911,8.27478,9.24262,9.86401,10.3713
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,7.24729,9.23424,10.1334,10.93
System.Immune System.Myeloid.KUPFFER CELL,8.69992,9.09793,9.23319,9.40083,9.87317
System.Connective Tissue.Bone marrow.CHONDROCYTE,7.87381,8.60661,9.2191,9.94555,10.8126
System.Nervous System.CNS.PONS,0.113644,8.39705,9.2176,9.72045,11.4434
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.49694,8.87207,9.21541,9.50372,9.89522
System.Immune System.Myeloid.MACROPHAGE,7.17827,8.70774,9.20348,9.60558,10.1406
System.Integumentary System.Skin.BASAL CELL,7.81791,8.66864,9.18404,9.60874,10.041
System.Nervous System.CNS.ASTROCYTE,7.33897,8.62125,9.17908,9.74156,10.4025
System.Nervous System.Eye.RETINA,0.113644,8.31069,9.17601,9.96452,10.6133
