id,min,q1,median,q3,max
System.Immune System.Granulocytic.GRANULOCYTE,10.3175,11.245,12.3726,12.9102,15.121
System.Nervous System.CNS.CEREBELLUM,9.72371,11.5786,12.3603,12.8706,13.2562
System.Immune System.Thymus.THYMOCYTE,11.2345,11.7231,11.8267,12.0361,12.6526
System.Immune System.Thymus.THYMUS,10.021,11.0785,11.8197,12.3429,13.3282
System.Digestive System.Pancreas.PANCREATIC ISLET,1.20968,10.5095,11.7657,13.5785,15.0775
System.Connective Tissue.Bone marrow.BONE MARROW,9.4615,10.726,11.6718,12.7636,14.4612
System.Immune System.Granulocytic.NEUTROPHIL,10.4088,11.2243,11.6718,12.1645,13.1297
System.Connective Tissue.Adipose tissue.ADIPOSE,10.2533,11.1819,11.5793,11.8912,12.7086
System.Connective Tissue.Adipose tissue.ADIPOCYTE,10.0246,10.8028,11.4962,11.9571,12.8208
System.Digestive System.Pancreas.ALPHA CELL,9.78907,10.5131,11.4183,13.1547,14.4988
System.Muscular System.Skeletal muscle.MYOBLAST,9.50951,10.5095,11.2886,12.1838,13.7182
System.Connective Tissue.Bone.STROMAL CELL,9.82686,10.6162,11.2787,12.5966,14.1936
System.Nervous System.CNS.PONS,9.1549,10.2589,11.2694,11.9298,13.6936
System.Immune System.Lymphoid.PLASMA CELL,9.11519,10.4239,11.2209,12.6507,14.4208
System.Immune System.Lymphoid.BLYMPHOCYTE,9.52933,10.4678,11.21,11.9518,12.3752
System.Nervous System.CNS.OLIGODENDROCYTE,9.06998,10.6394,11.15,11.7784,12.1381
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,10.1729,10.7403,11.0747,11.5264,13.1438
System.Nervous System.CNS.MEDULLA,8.12305,10.0914,11.0622,11.4905,12.3378
System.Connective Tissue.Bone marrow.CHONDROCYTE,9.57363,10.4386,10.9876,11.6475,12.7784
System.Integumentary System.Skin.HAIR FOLLICLE,10.1371,10.6223,10.9674,11.4617,11.8905
System.Cardiovascular System.Heart.HEART,9.34816,10.4858,10.9533,11.4421,12.9562
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,10.3719,10.7216,10.9421,11.1875,11.5066
System.Digestive System.Intestine.SMALL INTESTINE,9.95526,10.4682,10.9258,11.7978,13.5567
System.Nervous System.PNS.MOTOR NEURON,9.32497,10.1543,10.8833,11.6921,13.0386
System.Integumentary System.Skin.SKIN,9.18625,10.2307,10.8678,11.7319,13.6263
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,9.56756,10.3275,10.8614,11.609,12.5149
System.Nervous System.Eye.RETINA,9.36086,10.3536,10.8607,11.3343,13.0891
System.Urogenital/Reproductive System.Testis.TESTIS,8.7531,9.70551,10.8288,11.8104,13.9417
System.Immune System.Spleen.SPLEEN,9.2492,10.2463,10.8254,11.6153,12.4994
System.Digestive System.Liver.LIVER,9.14929,10.3064,10.8185,11.1914,12.3272
System.Immune System.Myeloid.MICROGLIA,9.75323,10.4955,10.8155,12.0041,13.5976
System.Integumentary System.Skin.FIBROBLAST,9.3302,10.2198,10.8045,11.6422,13.8418
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,9.97065,10.4175,10.7975,10.9777,11.6941
System.Immune System.Myeloid.DENDRITIC CELL,9.94597,10.4103,10.7868,11.136,12.0122
System.Digestive System.Pancreas.BETA CELL,9.53533,10.1552,10.7807,11.9432,14.9926
System.Immune System.Myeloid.KUPFFER CELL,10.4051,10.6772,10.7713,10.8987,11.467
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,10.291,10.5809,10.7614,12.1944,12.8706
System.Cardiovascular System.Heart.VALVE,7.94288,8.68668,10.757,11.3712,11.5754
System.Cardiovascular System.Heart.VENTRICLE,9.96454,10.4606,10.7224,11.09,11.5514
System.Digestive System.Liver.HEPATIC STELLATE CELL,8.87793,10.1576,10.7044,11.1457,11.8448
System.Nervous System.CNS.NEURON,9.17908,10.0012,10.7008,11.3658,12.4359
System.Digestive System.Intestine.COLON MUCOSA,9.41541,9.94672,10.6333,11.1664,11.579
System.Integumentary System.Skin.BASAL CELL,9.25992,10.221,10.6044,10.8497,11.1915
System.Nervous System.CNS.ASTROCYTE,8.91296,9.9708,10.5945,11.162,11.9539
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,9.41463,10.1719,10.5678,10.873,11.3113
System.Connective Tissue.Bone.OSTEOBLAST,9.67188,10.232,10.545,10.8451,11.6874
System.Immune System.Lymphoid.TLYMPHOCYTE,9.27144,10.1686,10.5311,10.9328,11.6523
System.Digestive System.Intestine.COLON,8.68439,9.76151,10.5238,11.067,11.9998
System.Nervous System.CNS.MIDBRAIN,9.37634,9.85794,10.5154,10.822,11.4875
System.Digestive System.Liver.HEPATOCYTE,9.37011,10.047,10.4681,10.8678,11.7155
System.Respiratory System.Lung.LUNG,8.37004,9.72488,10.4476,11.1864,12.3572
System.Nervous System.CNS.SPINAL CORD,9.57861,10.1106,10.4325,10.7593,11.3995
System.Cardiovascular System.Heart.ATRIUM,8.98175,9.75581,10.4279,10.7302,11.7218
System.Integumentary System.Skin.MELANOCYTE,8.23902,9.81129,10.4216,11.1328,12.1064
System.Immune System.Myeloid.MACROPHAGE,9.1244,9.89148,10.4112,10.8678,12.1557
System.Digestive System.Esophagus.ESOPHAGUS,9.08802,9.62783,10.4075,11.0885,13.1903
