id,min,q1,median,q3,max
System.Urogenital/Reproductive System.Kidney.PODOCYTE,9.09161,9.99107,10.325,10.8974,11.4218
System.Immune System.Lymphoid.BLYMPHOCYTE,7.41375,9.1946,10.2307,10.969,11.909
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,8.63481,9.71082,10.2068,10.5431,11.1894
System.Nervous System.CNS.CEREBRAL CORTEX,7.24821,8.34464,10.2048,10.3405,10.6132
System.Urogenital/Reproductive System.Breast.BREAST,7.57981,9.29042,10.108,10.777,11.7162
System.Immune System.Thymus.THYMUS,8.50873,9.37954,10.0527,10.5576,11.0701
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,7.82858,9.18059,10.0382,10.6854,11.2883
System.Digestive System.Liver.HEPATIC STELLATE CELL,8.63211,9.3912,9.9527,10.3718,10.8887
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,8.24102,9.13272,9.9471,10.2215,10.4462
System.Immune System.Thymus.THYMOCYTE,9.24841,9.48878,9.94653,10.3698,10.669
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,8.23693,9.21084,9.85911,10.2683,10.6359
System.Connective Tissue.Bone marrow.BONE MARROW,6.41176,9.01616,9.85175,10.7739,11.7684
System.Integumentary System.Skin.KERATINOCYTE,8.24896,9.15338,9.69473,10.2463,11.1068
System.Muscular System.Smooth muscle.MYOFIBROBLAST,8.05832,9.06187,9.68186,10.5561,11.9856
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,8.52032,9.36631,9.66508,10.1841,11.072
System.Connective Tissue.Bone.OSTEOBLAST,5.29267,9.07355,9.60225,9.98951,10.3188
System.Integumentary System.Skin.MELANOCYTE,8.28164,9.08534,9.59872,10.1418,10.9549
System.Integumentary System.Skin.HAIR FOLLICLE,7.54549,9.146,9.57543,9.88426,10.7492
System.Muscular System.Skeletal muscle.MYOBLAST,8.02856,8.8131,9.54554,10.1773,11.2079
System.Immune System.Lymphoid.TLYMPHOCYTE,7.29945,8.55418,9.53567,10.2198,10.9266
System.Integumentary System.Skin.FIBROBLAST,7.43403,8.85952,9.51089,10.1305,11.126
System.Urogenital/Reproductive System.Testis.TESTIS,6.07029,8.08452,9.50741,10.2699,11.0749
System.Connective Tissue.Bone.STROMAL CELL,7.55661,8.98773,9.50245,9.96389,10.8101
System.Integumentary System.Skin.SKIN,7.70435,8.87354,9.4951,10.041,10.9702
System.Urogenital/Reproductive System.Kidney.KIDNEY,7.23377,8.56328,9.45919,10.4269,11.3749
System.Digestive System.Intestine.COLON,6.61965,8.7545,9.45601,10.2158,11.254
System.Nervous System.CNS.ASTROCYTE,6.23741,8.70389,9.40188,9.9484,10.5591
System.Cardiovascular System.Heart.VALVE,7.76314,8.58521,9.39902,10.2593,11.1081
System.Immune System.Spleen.SPLEEN,7.47443,8.59651,9.38776,10.2608,10.923
System.Respiratory System.Lung.LUNG,6.35023,8.28634,9.35878,10.3098,11.6087
System.Nervous System.CNS.PONS,6.65054,8.51328,9.32737,9.82466,11.2391
System.Connective Tissue.Bone marrow.CHONDROCYTE,7.7669,8.82333,9.3242,9.66304,10.7948
System.Nervous System.CNS.OLIGODENDROCYTE,7.56121,8.25567,9.3095,9.7634,10.0995
System.Immune System.Myeloid.MICROGLIA,7.36439,8.09316,9.27619,10.4862,11.8346
System.Immune System.Lymphoid.PLASMA CELL,0.113644,8.33964,9.25254,9.89946,10.8907
System.Digestive System.Esophagus.ESOPHAGUS,6.65729,7.95044,9.23839,9.99837,10.859
System.Digestive System.Intestine.COLON MUCOSA,7.73863,8.16885,9.21123,10.0162,10.666
System.Immune System.Myeloid.KUPFFER CELL,8.66791,9.05093,9.15591,9.70168,9.7938
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,8.49903,8.87207,9.14276,9.40325,9.72838
System.Immune System.Myeloid.DENDRITIC CELL,7.50827,8.55681,9.14276,9.65029,10.4027
System.Nervous System.CNS.MEDULLA,6.94293,8.32464,9.11166,9.65012,10.1861
System.Cardiovascular System.Heart.HEART,6.65433,7.92253,9.06234,9.68003,10.6723
System.Urogenital/Reproductive System.Ovary.OVARY,5.932,7.91996,9.02805,9.9452,11.0125
System.Respiratory System.Trachea.TRACHEA,7.7955,8.32102,8.87207,9.5203,10.3296
System.Integumentary System.Skin.BASAL CELL,7.09014,8.33209,8.86807,9.35568,10.6912
System.Immune System.Granulocytic.NEUTROPHIL,7.03818,7.90918,8.8243,9.78113,10.2463
System.Digestive System.Liver.HEPATOCYTE,7.44633,8.25034,8.81003,9.3095,10.333
System.Urogenital/Reproductive System.Ovary.GRANULOSA,6.1746,7.70048,8.70226,9.86945,10.9385
System.Nervous System.PNS.MOTOR NEURON,5.23936,6.79623,8.66986,10.4306,11.9898
System.Connective Tissue.Adipose tissue.ADIPOCYTE,7.07265,7.78223,8.66501,9.21084,9.95779
System.Digestive System.Liver.LIVER,7.11933,8.04956,8.63303,9.49182,10.671
System.Immune System.Myeloid.MACROPHAGE,6.37631,7.85098,8.60063,9.21084,10.5743
System.Nervous System.CNS.NEURON,5.25971,7.19727,8.53994,9.68003,11.0198
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,6.30637,7.03159,8.43216,9.25061,9.93796
System.Connective Tissue.Adipose tissue.ADIPOSE,7.17515,7.91724,8.42795,8.9198,9.6298
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,6.83068,8.40087,9.56796,10.7855
System.Nervous System.Eye.RETINA,4.71212,5.78326,8.38924,9.49853,10.5544
System.Digestive System.Intestine.SMALL INTESTINE,6.29839,7.0808,8.17773,9.69995,11.0142
System.Urogenital/Reproductive System.Ovary.OOCYTE,5.2028,7.1938,8.15151,8.93055,10.4234
System.Digestive System.Pancreas.BETA CELL,0.113644,7.09623,8.00354,9.19239,10.1367
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,6.58815,7.4498,7.82172,9.36728,10.0759
System.Immune System.Granulocytic.GRANULOCYTE,6.73973,7.1937,7.69723,9.07095,10.5432
System.Digestive System.Pancreas.ALPHA CELL,0.113644,6.93743,7.67462,8.73721,9.95768
System.Nervous System.CNS.SPINAL CORD,6.67208,7.26685,7.64512,8.05246,9.51142
System.Nervous System.CNS.THALAMUS,5.10567,6.41592,7.58896,8.71775,10.5118
System.Nervous System.CNS.HYPOTHALAMUS,4.84892,6.60849,7.58896,8.69555,9.04799
System.Cardiovascular System.Heart.ATRIUM,6.54124,7.1793,7.57607,8.6516,9.76422
System.Nervous System.PNS.SENSORY NEURON,5.82473,6.6332,7.4111,8.28875,9.22341
System.Nervous System.CNS.MIDBRAIN,0.113644,6.65177,7.36047,8.84482,10.7005
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,6.18762,6.77744,7.29945,8.51024,10.7242
System.Cardiovascular System.Heart.VENTRICLE,6.25272,6.61965,6.93041,7.29406,8.62327
System.Nervous System.CNS.CEREBELLUM,5.18213,5.78326,6.16133,6.68963,8.58688
